question,prompt,code,asserts
"Given a binary tree, write a function to check if it is a subtree of another binary tree.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Given a binary tree, write a function to check if it is a subtree of another binary tree.

isSubtree(T, S) should return True
isSubtree(T, S) should return F

[/Question] [/INST] [Code]

class TreeNode:
    def __init__(self, value=0, left=None, right=None):
        self.value = value
        self.left = left
        self.right = right

def areIdentical(root1, root2):
    if not root1 and not root2:
        return True
    if not root1 or not root2:
        return False
    return (root1.value == root2.value and
            areIdentical(root1.left, root2.left) and
            areIdentical(root1.right, root2.right))

def isSubtree(T, S):
    if not T:
        return False
    if areIdentical(T, S):
        return True
    return isSubtree(T.left, S) or isSubtree(T.right, S) 

[/Code]
[/STOP] </s>","class TreeNode:
    def __init__(self, value=0, left=None, right=None):
        self.value = value
        self.left = left
        self.right = right

def areIdentical(root1, root2):
    if not root1 and not root2:
        return True
    if not root1 or not root2:
        return False
    return (root1.value == root2.value and
            areIdentical(root1.left, root2.left) and
            areIdentical(root1.right, root2.right))

def isSubtree(T, S):
    if not T:
        return False
    if areIdentical(T, S):
        return True
    return isSubtree(T.left, S) or isSubtree(T.right, S)","T = TreeNode(1, TreeNode(2, TreeNode(4), TreeNode(5)), TreeNode(3))
S = TreeNode(2, TreeNode(4), TreeNode(5))
assert isSubtree(T, S) == True
T = TreeNode(3, TreeNode(4, TreeNode(1), TreeNode(2, TreeNode(0)), TreeNode(3)))
S = TreeNode(4, TreeNode(1), TreeNode(2, TreeNode(0), TreeNode(3)))
assert isSubtree(T, S) == False"
"Given a number N, write a function to determine if the expansion of N in Manhattan prime form contains any pairwise coprime odd powers.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Given a number N, write a function to determine if the expansion of N in Manhattan prime form contains any pairwise coprime odd powers.

expandInManhattanPrimeForm(30) ➞ F
expandInManhattanPrimeForm(15) ➞ True
expandInManhattanPrimeForm(45) ➞ True

[/Question] [/INST] [Code]

def isPrime(n: int) -> bool:
	if n <= 1:
		return False
	for i in range(2, int(n**0.5)+1):
		if n % i == 0:
			return False
	return True

def expandInManhattanPrimeForm(N: int) -> bool:
	prime_powers = []
	if N % 2 == 0:
		return False
	for i in range(3, N+1, 2):
		if N % i == 0 and isPrime(i):
			exp = 0
			while N % i == 0:
				N //= i
				exp += 1
			if exp % 2 != 0:
				prime_powers.append(i)
	if len(prime_powers) < 2:
		return False
	for i in range(len(prime_powers)):
		for j in range(i+1, len(prime_powers)):
			if isPrime(prime_powers[i]) and isPrime(prime_powers[j]) and math.gcd(prime_powers[i], prime_powers[j]) == 1:
				return True
	return False 

[/Code]
[/STOP] </s>","def isPrime(n: int) -> bool:
	if n <= 1:
		return False
	for i in range(2, int(n**0.5)+1):
		if n % i == 0:
			return False
	return True

def expandInManhattanPrimeForm(N: int) -> bool:
	prime_powers = []
	if N % 2 == 0:
		return False
	for i in range(3, N+1, 2):
		if N % i == 0 and isPrime(i):
			exp = 0
			while N % i == 0:
				N //= i
				exp += 1
			if exp % 2 != 0:
				prime_powers.append(i)
	if len(prime_powers) < 2:
		return False
	for i in range(len(prime_powers)):
		for j in range(i+1, len(prime_powers)):
			if isPrime(prime_powers[i]) and isPrime(prime_powers[j]) and math.gcd(prime_powers[i], prime_powers[j]) == 1:
				return True
	return False","assert expandInManhattanPrimeForm(15)==True
assert expandInManhattanPrimeForm(12)==False
assert expandInManhattanPrimeForm(45)==True
assert expandInManhattanPrimeForm(30)==False"
"Given an array of integers, return a boolean indicating whether there is a triplet (a, b, c) that satisfy the condition a^2 + b^2 = c^2. The array may contain duplicate values and negative numbers.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Given an array of integers, return a boolean indicating whether there is a triplet (a, b, c) that satisfy the condition a^2 + b^2 = c^2. The array may contain duplicate values and negative numbers.

>>> findPythagoreanTriplets([8, 16, 18, 21, 24])
False
>>> findPythagoreanTriplets([3, 1, 4, 6, 5])
True

[/Question] [/INST] [Code]

def findPythagoreanTriplets(nums: list) -> bool:
    squared_nums = [x*x for x in nums]
    squared_nums.sort()
    for i in range(len(squared_nums) - 1, 1, -1):
        left = 0
        right = i - 1
        while left < right:
            if squared_nums[left] + squared_nums[right] == squared_nums[i]:
                return True
            elif squared_nums[left] + squared_nums[right] < squared_nums[i]:
                left += 1
            else:
                right -= 1
    return False 

[/Code]
[/STOP] </s>","def findPythagoreanTriplets(nums: list) -> bool:
    squared_nums = [x*x for x in nums]
    squared_nums.sort()
    for i in range(len(squared_nums) - 1, 1, -1):
        left = 0
        right = i - 1
        while left < right:
            if squared_nums[left] + squared_nums[right] == squared_nums[i]:
                return True
            elif squared_nums[left] + squared_nums[right] < squared_nums[i]:
                left += 1
            else:
                right -= 1
    return False","assert findPythagoreanTriplets([3, 1, 4, 6, 5]) == True
assert findPythagoreanTriplets([10, 4, 6, 12, 5]) == True
assert findPythagoreanTriplets([8, 16, 18, 21, 24]) == False
assert findPythagoreanTriplets([-3, -4, -5]) == True"
"Goldbach's weak conjecture states that every odd composite number can be written as the sum of a prime number and twice a square. 

Write a function that takes an odd composite number as input and returns True if the conjecture holds for the given number, and False otherwise.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Goldbach's weak conjecture states that every odd composite number can be written as the sum of a prime number and twice a square. 

Write a function that takes an odd composite number as input and returns True if the conjecture holds for the given number, and False otherwise.



[/Question] [/INST] [Code]

def isPrime(n: int) -> bool:
	if n <= 1:
		return False
	if n <= 3:
		return True
	if n % 2 == 0 or n % 3 == 0:
		return False
	i = 5
	while (i * i <= n):
		if n % i == 0 or n % (i + 2) == 0:
			return False
		i += 6
	return True

def checkGoldbachsConjecture(n: int) -> bool:
    for i in range(2, n):
        if isPrime(i):
            j = 1
            while ((i + 2 * (j * j)) <= n):
                if (i + 2 * (j * j) == n):
                    return True
                j += 1
    return False 

[/Code]
[/STOP] </s>","def isPrime(n: int) -> bool:
	if n <= 1:
		return False
	if n <= 3:
		return True
	if n % 2 == 0 or n % 3 == 0:
		return False
	i = 5
	while (i * i <= n):
		if n % i == 0 or n % (i + 2) == 0:
			return False
		i += 6
	return True

def checkGoldbachsConjecture(n: int) -> bool:
    for i in range(2, n):
        if isPrime(i):
            j = 1
            while ((i + 2 * (j * j)) <= n):
                if (i + 2 * (j * j) == n):
                    return True
                j += 1
    return False","assert checkGoldbachsConjecture(9)==True
assert checkGoldbachsConjecture(15)==True
assert checkGoldbachsConjecture(21)==True
assert checkGoldbachsConjecture(25)==True
assert checkGoldbachsConjecture(27)==True"
"Given a large number n, write a function to check if the number is divisible by both 2 and 3.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Given a large number n, write a function to check if the number is divisible by both 2 and 3.

is_divisible_by_2_and_3(15)   # returns F
is_divisible_by_2_and_3(12)   # returns True
is_divisible_by_2_and_3(8)   # returns False
is_divisible_by_2_and_3(6)   # returns True

[/Question] [/INST] [Code]

def is_divisible_by_2_and_3(n: int) -> bool:
    if n % 2 == 0 and n % 3 == 0:
        return True
    else:
        return False 

[/Code]
[/STOP] </s>","def is_divisible_by_2_and_3(n: int) -> bool:
    if n % 2 == 0 and n % 3 == 0:
        return True
    else:
        return False","assert is_divisible_by_2_and_3(6) == True
assert is_divisible_by_2_and_3(8) == False
assert is_divisible_by_2_and_3(9) == False
assert is_divisible_by_2_and_3(12) == True
assert is_divisible_by_2_and_3(15) == False"
"You are given the positions and speeds of two trucks moving along the x-axis, represented by strings s and t. Each string consists of '0' and '1' characters where '1' represents the truck and '0' represents an empty position. The first truck is at position s[i] at time i, and the second truck is at position t[i] at time i. If there is a collision (i.e., they occupy the same position at the same time), return True, otherwise return False.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
You are given the positions and speeds of two trucks moving along the x-axis, represented by strings s and t. Each string consists of '0' and '1' characters where '1' represents the truck and '0' represents an empty position. The first truck is at position s[i] at time i, and the second truck is at position t[i] at time i. If there is a collision (i.e., they occupy the same position at the same time), return True, otherwise return False.

willCollide(""10010"", ""00100"") ➞ True
willCollide(""10010"", ""00110"") ➞ F

[/Question] [/INST] [Code]

def willCollide(s: str, t: str) -> bool:
    for i in range(len(s)):
        if s[i] == '1' and t[i] == '1':
            return True
    return False 

[/Code]
[/STOP] </s>","def willCollide(s: str, t: str) -> bool:
    for i in range(len(s)):
        if s[i] == '1' and t[i] == '1':
            return True
    return False","assert willCollide(""10010"", ""00100"") == True
assert willCollide(""10010"", ""00110"") == False"
"You are given an array of integers representing the amount of candies each child has and an integer K. The union of two integers is defined as the absolute difference between them. You need to find if it is possible to spend all the candies such that after every possible union of two integers, a prime number is obtained. Return True if it is possible, otherwise return False.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
You are given an array of integers representing the amount of candies each child has and an integer K. The union of two integers is defined as the absolute difference between them. You need to find if it is possible to spend all the candies such that after every possible union of two integers, a prime number is obtained. Return True if it is possible, otherwise return False.

canSpendCandies([1, 1, 1, 1, 1], 1) should return True
canSpendCandies([1, 2, 7, 4, 5], 2) should return False
canSpendCandies([1, 2, 3, 4, 5], 2) should return True
canSpendCandies([3, 6, 9, 12, 15], 1) should return F

[/Question] [/INST] [Code]

from itertools import combinations

def isPrime(n: int) -> bool: 
	if n <= 1: 
		return False
	if n <= 3: 
		return True
	if n % 2 == 0 or n % 3 == 0: 
		return False
	
	i = 5
	while i * i <= n: 
		if n % i == 0 or n % (i + 2) == 0: 
			return False
		i += 6
	return True

def canSpendCandies(arr: List[int], k: int) -> bool:
    for pair in combinations(arr, 2):
        if not isPrime(abs(pair[0]-pair[1])):
            return False
    return True 

[/Code]
[/STOP] </s>","from itertools import combinations

def isPrime(n: int) -> bool: 
	if n <= 1: 
		return False
	if n <= 3: 
		return True
	if n % 2 == 0 or n % 3 == 0: 
		return False
	
	i = 5
	while i * i <= n: 
		if n % i == 0 or n % (i + 2) == 0: 
			return False
		i += 6
	return True

def canSpendCandies(arr: List[int], k: int) -> bool:
    for pair in combinations(arr, 2):
        if not isPrime(abs(pair[0]-pair[1])):
            return False
    return True","assert canSpendCandies([1, 2, 3, 4, 5], 2)==True
assert canSpendCandies([1, 2, 7, 4, 5], 2)==False
assert canSpendCandies([3, 11, 7, 13, 5], 3)==True
assert canSpendCandies([1, 1, 1, 1, 1], 1)==True
assert canSpendCandies([3, 6, 9, 12, 15], 1)==False"
"You are given a set of distinct line segments on a 2D plane. You need to write a function to determine the strength of the set, which is calculated by multiplying the slopes of all the line segments alternatively and then adding the number of distinct lines. Additionally, if the final number is positive, return True; otherwise, return False.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
You are given a set of distinct line segments on a 2D plane. You need to write a function to determine the strength of the set, which is calculated by multiplying the slopes of all the line segments alternatively and then adding the number of distinct lines. Additionally, if the final number is positive, return True; otherwise, return False.



[/Question] [/INST] [Code]

from typing import List

def strengthOfSet(lineSegments: List[List[int]]) -> bool:
    slopes = [getSlope(segment) for segment in lineSegments]
    strength = 0
    for i in range(len(slopes)):
        if i % 2 == 0:
            strength *= slopes[i]
        else:
            strength += slopes[i]
    return strength + len(lineSegments) > 0

def getSlope(segment: List[int]) -> float:
    # Implement the logic to get slope from line segment
    pass 

[/Code]
[/STOP] </s>","from typing import List

def strengthOfSet(lineSegments: List[List[int]]) -> bool:
    slopes = [getSlope(segment) for segment in lineSegments]
    strength = 0
    for i in range(len(slopes)):
        if i % 2 == 0:
            strength *= slopes[i]
        else:
            strength += slopes[i]
    return strength + len(lineSegments) > 0

def getSlope(segment: List[int]) -> float:
    # Implement the logic to get slope from line segment
    pass","# Assuming getSlope function is implemented correctly
assert strengthOfSet([[1, 2], [3, 4], [5, 6]]) == True
assert strengthOfSet([[2, 4], [3, 6], [7, 8]]) == False
assert strengthOfSet([[1, 1], [2, 2], [3, 3]]) == False
assert strengthOfSet([[1, 2], [2, 4], [5, 6]]) == True"
"Given a positive integer n and an integer k, the task is to check if n can be expressed as the product of k consecutive positive integers.","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
Given a positive integer n and an integer k, the task is to check if n can be expressed as the product of k consecutive positive integers.



[/Question] [/INST] [Code]

def isProductOfKConsecutiveIntegers(n: int, k: int) -> bool :
    if k==1: 
        return True
	m = 2
	while (m * (m + 1) < 2 * n) :
		if (n % (m * (m + 1)) == 0) :
			if (n / (m * (m + 1)) >= k) :
				return True
		m += 1
	return False 

[/Code]
[/STOP] </s>","def isProductOfKConsecutiveIntegers(n: int, k: int) -> bool :
    if k==1: 
        return True
	m = 2
	while (m * (m + 1) < 2 * n) :
		if (n % (m * (m + 1)) == 0) :
			if (n / (m * (m + 1)) >= k) :
				return True
		m += 1
	return False","assert isProductOfKConsecutiveIntegers(60, 2)==True
assert isProductOfKConsecutiveIntegers(28, 3)==True
assert isProductOfKConsecutiveIntegers(100, 7)==False
assert isProductOfKConsecutiveIntegers(5040, 4)==True
assert isProductOfKConsecutiveIntegers(36, 5)==False"
"You are given a string \( s \). The string contains characters 'L', 'R', 'U', and 'D', representing left, right, up, and down movements respectively. If the movements are followed and added to a graph of 2D coordinates starting from the initial location (0, 0), determine if the string leads back to the starting location. Return True if the absolute displacement from the starting location is (0,0), otherwise return False.

For example, if the input string is 'UDLR', it means the movements lead to going up, down, left, and right. Even though the movements might eventually restore the location to (0,0), the question is asking whether or not the absolute displacement is (0,0).","<s>[INST] <<SYS>>
You are an assistant tasked with generating code given a question and some Examples and/or Explanations along with the question. The question as well as some examples with input and expected outputs will be between [Question] and [/Question]. You must answer the programming question with python code within the [Code] and [/Code] blocks
<</SYS>>


[Question]
        
You are given a string \( s \). The string contains characters 'L', 'R', 'U', and 'D', representing left, right, up, and down movements respectively. If the movements are followed and added to a graph of 2D coordinates starting from the initial location (0, 0), determine if the string leads back to the starting location. Return True if the absolute displacement from the starting location is (0,0), otherwise return False.

For example, if the input string is 'UDLR', it means the movements lead to going up, down, left, and right. Even though the movements might eventually restore the location to (0,0), the question is asking whether or not the absolute displacement is (0,0).



[/Question] [/INST] [Code]

def restoreLocation(s: str) -> bool:
    x, y = 0, 0
    for movement in s:
        if movement == 'L':
            x -= 1
        elif movement == 'R':
            x += 1
        elif movement == 'U':
            y += 1
        elif movement == 'D':
            y -= 1
    return x == 0 and y == 0 

[/Code]
[/STOP] </s>","def restoreLocation(s: str) -> bool:
    x, y = 0, 0
    for movement in s:
        if movement == 'L':
            x -= 1
        elif movement == 'R':
            x += 1
        elif movement == 'U':
            y += 1
        elif movement == 'D':
            y -= 1
    return x == 0 and y == 0","assert restoreLocation('UDLR')==True
assert restoreLocation('UUDLDR')==False
assert restoreLocation('UUUUDDDDLLLLRRRR')==True
assert restoreLocation('UDUDUDUD')==True
assert restoreLocation('LRULLDRRUU')==False"
